Game,Console,Genre
Jak and Daxter: The Lost Frontier,PlayStation Portable,"Platform, Adventure; Action, Science fiction, Comedy"
Jak and Daxter: The Precursor Legacy,PlayStation 4,"Platform, Adventure; Action, Science fiction, Comedy"
Jak II,PlayStation 4,"Shooter, Platform, Racing, Adventure; Action, Science fiction, Comedy"
Jak X,PlayStation 4,"Racing; Action, Science fiction, Comedy"
Jazzpunk: Director's Cut,PlayStation 4,"Shooter, Puzzle, Sport, Adventure, Indie; Action, Comedy"
Jet Car Stunts,PlayStation 3,"Platform, Racing, Sport, Indie; Action"
Jet Set Radio,PlayStation Vita,"Music, Racing, Sport, Adventure, Arcade; Action"
Jetpack Joyride,PlayStation 4,"Platform, Arcade; Action, Science fiction, Comedy"
Job Simulator VR,PlayStation VR,"Simulator, Puzzle; Comedy, Sandbox, Party"
Joe Danger 2: The Movie,PlayStation 3,"Platform, Racing, Indie; Action, Comedy"
Journey,PlayStation 4,"Platform, Adventure, Indie; Fantasy"
Jumping Flash,PlayStation 1,"Platform, Shooter, Adventure; Action"
Just Die Already,PlayStation 4,"Simulator, Adventure, Indie; Comedy, Sandbox, Open world"
Kandagawa Jet Girls,PlayStation 4,
Kane and Lynch 2: Dog Days,PlayStation 3,
Kane and Lynch: Dead Men,PlayStation 3,
Katamari Damacy: Reroll,PlayStation 4,
Keep Talking and Nobody Explodes,PlayStation 4,
Kena: Bridge of Spirits,PlayStation 5,
Kerbal Space Program: Enhanced Edition,PlayStation 5,
Killer is Dead,PlayStation 3,
Killzone,PlayStation 3,
Kingdom Hearts HD 1.5 & 2.5 Remix,PlayStation 4,
Kingdom Hearts HD 2.8 Final Chapter Prologue,PlayStation 4,
Kingdom Hearts III,PlayStation 4,
Kingdom Hearts: VR Experience,PlayStation VR,
Kingdoms of Amalur: Re-Reckoning,PlayStation 4,
Klonoa: Door to Phantomile,PlayStation 1,
Knack,PlayStation 4,
Knack 2,PlayStation 4,
Knockout City,PlayStation 5,
Knockout League,PlayStation VR,
Kona VR,PlayStation VR,
Kula World,PlayStation 1,
LA Cops,PlayStation 4,
LA Noire,PlayStation 3,
LEGO Batman,PlayStation Portable,
LEGO Batman 2: DC Super Heroes,PlayStation Vita,
LEGO City Undercover,PlayStation 4,
LEGO DC Super-Villains,PlayStation 4,
LEGO Harry Potter Collection,PlayStation 4,
LEGO Indiana Jones,PlayStation Portable,
LEGO Marvel,PlayStation 4,
LEGO Pirates of the Caribbean,PlayStation Portable,
LEGO Star Wars III: The Clone Wars,PlayStation Portable,
Leisure Suit Larry: Wet Dreams Don't Dry,PlayStation 4,
Leisure Suit Larry: Wet Dreams Dry Twice,PlayStation 4,
Lemmings,PlayStation 3,
Lethal VR,PlayStation VR,
Lichtspeer,PlayStation 4,
Life Is Strange,PlayStation 4,
Little Nightmares,PlayStation 4,
LittleBigPlanet,PlayStation 3,
LittleBigPlanet 2,PlayStation 3,
LittleBigPlanet 3,PlayStation 4,
LittleBigPlanet Karting,PlayStation 3,
LocoRoco,PlayStation 4,
Lollipop Chainsaw,PlayStation 3,
Lone Survivor: The Director's Cut,PlayStation 3,
Lovers In A Dangerous Spacetime,PlayStation 4,
LUMO,PlayStation 4,
Mafia II,PlayStation 3,
Mafia III,PlayStation 4,
Mafia: Definitive Edition,PlayStation 4,
Malicious,PlayStation 3,
Maneater,PlayStation 5,
Manhunt,PlayStation 4,
Manual Samuel,PlayStation 4,
Maquette,PlayStation 5,
Marvel's Guardians Of The Galaxy TTG,PlayStation 4,
Marvel's Iron Man VR,PlayStation VR,
Marvel's Spider-Man,PlayStation 4,
Mass Effect 3,PlayStation 3,
Mass Effect: Legendary Edition,PlayStation 4,
Max Payne,PlayStation 4,
Medievil,PlayStation 1,
MediEvil,PlayStation 4,
Mega Man Legacy Collection,PlayStation 4,
Mega Man Legacy Collection 2,PlayStation 4,
Mega Man X Legacy Collection,PlayStation 4,
Mega Man X Legacy Collection 2,PlayStation 4,
Mensa Academy,PlayStation 3,
Mervils: A VR Adventure,PlayStation VR,
Metal Gear Solid,PlayStation 1,
Metal Gear Solid 2: Sons of Liberty,PlayStation 3,
Metal Gear Solid 3: Snake Eater,PlayStation 3,
Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,
Metal Gear Solid V: The Phantom Pain,PlayStation 4,
Metal Gear Solid: Peace Walker,PlayStation 3,
Metro Exodus,PlayStation 5,
Metro Redux,PlayStation 4,
Micro Machines World Series,PlayStation 4,
Minutes,PlayStation 4,
Modnation Racers,PlayStation 3,
ModNation Racers: Road Trip,PlayStation Vita,
Monopoly Family Fun Pack,PlayStation 4,
Monster Hunter World,PlayStation 4,
Monsters Inc Scare Island,PlayStation 1,
Mortal Kombat,PlayStation 3,
Mortal Kombat Arcade Kollection,PlayStation 3,
Mortal Kombat X,PlayStation 4,
Mortal Shell,PlayStation 4,
Moss,PlayStation VR,
Mother Russia Bleeds,PlayStation 4,
Motor Toon Grand Prix 2,PlayStation 1,
Motorstorm Apocalypse,PlayStation 3,
Motorstorm RC,PlayStation 3,
Motorstorm: Pacific Rift,PlayStation 3,
Naughty Bear,PlayStation 3,
Need for Speed Underground 2,PlayStation 2,
Need for Speed Heat,PlayStation 4,"Racing, Sport, Adventure; Action, Open world"
Need for Speed: Most Wanted,PlayStation 3,
Need for Speed: Shift,PlayStation 3,
Need for Speed: The Run,PlayStation 3,
Neon Chrome,PlayStation 4,
Neon Drive,PlayStation 4,
Nickelodeon All Stars Brawl,PlayStation 5,
Night Book,PlayStation 4,
Ninja Senki DX,PlayStation 4,
Nioh 2,PlayStation 5,
Nitroplus Blasterz: Heroines Infinite Duel,PlayStation 4,
No Heroes Allowed: No Puzzles Either!,PlayStation Vita,
No Man's Sky,PlayStation 5,
Octodad: Dadliest Catch,PlayStation 4,
Oddworld: Abe's Exoddus,PlayStation 1,
Oddworld: Abe's Oddysee,PlayStation 1,
Oddworld: Munch's Oddysee,PlayStation 3,
Oddworld: New 'n' Tasty,PlayStation 4,
Oddworld: Soulstorm,PlayStation 5,
Oddworld: Stranger's Wrath,PlayStation 3,
Økami HD,PlayStation 4,
OlliOlli 2,PlayStation 4,
OlliOlli: Epic Combo Edition,PlayStation 4,
One Escape,PlayStation 5,
One Piece Unlimited World Red,PlayStation 4,
Outbreak: Epidemic,PlayStation 4,
Outlast,PlayStation 4,
Overcooked: All You Can Eat Edition,PlayStation 5,
Ovivo,PlayStation 5,
Oxenfree,PlayStation 4,
Pac-Man 256,PlayStation 4,
Paint Park,PlayStation Vita,
Paint Park Plus,PlayStation Vita,
PaRappa The Rapper 2,PlayStation 4,
PaRappa The Rapper Remastered,PlayStation 4,
Party Hard,PlayStation 4,
PAYDAY: The Heist,PlayStation 3,
"Penn & Teller VR: F U, U, U & U",PlayStation VR,
Perfect VR,PlayStation VR,
Persona 5,PlayStation 4,
Persona 5 Strikers,PlayStation 4,
PGA Tour 2K21,PlayStation 4,
Pic-A-Pix Color,PlayStation 4,
PixelJunk Shooter Ultimate,PlayStation 4,
Planet Coaster,PlayStation 5,
Plants vs Zombies: Battle for Neighborville,PlayStation 4,
Playstation All Stars Battle Royale,PlayStation 3,
PlayStation Move Heroes,PlayStation 3,
PlayStation Vita Pets,PlayStation Vita,
PlayStation VR Worlds,PlayStation VR,
Please Don't Touch Anything,PlayStation 4,
Poltergeist: A Pixelated Horror,PlayStation 4,
Polybius,PlayStation 4,
PONG,PlayStation 1,
PONG Quest,PlayStation 4,
Postal Redux,PlayStation 4,
Prince of Persia: The Sands of Time,PlayStation 3,
Prince of Persia: The Two Thrones,PlayStation 3,
Prince of Persia: Warrior Within,PlayStation 3,
Prinny,PlayStation Portable,
Pro Evolution Soccer 2010,PlayStation 3,
Psychonauts,PlayStation 4,
Psychonauts 2,PlayStation 4,
Psychonauts In The Rhombus Of Ruin VR,PlayStation VR,
Pumped BMX+,PlayStation 4,
Putty Squad,PlayStation 4,
Quake,PlayStation 4,
Quantum Conundrum,PlayStation 3,
Quell Memento,PlayStation Vita,
Quest Of Dungeons,PlayStation 4,
Rally Copters,PlayStation 4,
Rally Cross,PlayStation 1,
Ratchet & Clank,PlayStation 3,
Ratchet & Clank,PlayStation 4,
Ratchet & Clank 2,PlayStation 3,
Ratchet & Clank 3,PlayStation 3,
Ratchet & Clank: A Crack in Time,PlayStation 3,
Ratchet & Clank: Nexus,PlayStation 3,
Ratchet & Clank: QForce,PlayStation 3,
Ratchet & Clank: Quest for Booty,PlayStation 3,
Ratchet & Clank: Rift Apart,PlayStation 5,
Ratchet & Clank: Size Matters,PlayStation Portable,
Ratchet & Clank: Tools of Destruction,PlayStation 3,
Ratchet: Gladiator,PlayStation 3,
Rayman,PlayStation 1,
Rayman 2,PlayStation 1,
Rayman 3 HD,PlayStation 3,
Rayman Legends,PlayStation 4,
Rayman Origins,PlayStation 3,
Red Dead Redemption,PlayStation 3,
Red Dead Redemption 2,PlayStation 4,
Red Dead Revolver,PlayStation 4,
Resident Evil,PlayStation 4,
Resident Evil 0,PlayStation 4,
Resident Evil 2,PlayStation 1,
Resident Evil 2,PlayStation 5,
Resident Evil 3,PlayStation 5,
Resident Evil 3: Nemesis,PlayStation 1,
Resident Evil 4,PlayStation 4,
Resident Evil 5,PlayStation 4,
Resident Evil 6,PlayStation 4,
Resident Evil 7,PlayStation 5,
Resident Evil Revelations,PlayStation 4,
Resident Evil Revelations 2,PlayStation 4,
Resident Evil Village,PlayStation 5,
Resident Evil: Director's Cut,PlayStation 1,
Resident Evil: Re:Verse,PlayStation 4,
Resident Evil: Resistance,PlayStation 4,
Resistance,PlayStation 3,
Resistance: Retribution,PlayStation Portable,
RESOGUN,PlayStation 4,
Retro City Rampage DX,PlayStation 4,
Rez Infinite VR,PlayStation VR,
Rick & Morty: Virtual Rick-ality,PlayStation VR,
RIGS: Mechanized Combat League VR,PlayStation VR,
Riptide GP: Renegade,PlayStation 4,
Rise Of The Tomb Raider,PlayStation 4,
Risk Of Rain,PlayStation 4,
Road Redemption,PlayStation 4,
Rock Boshers DX: Director's Cut,PlayStation 4,
Rocket League,PlayStation 4,
Rocketbirds 2: Evolution,PlayStation 4,
Rocketbirds: Hardboiled Chicken,PlayStation Vita,
Rogue Company,PlayStation 5,
Rogue Legacy,PlayStation 4,
Rollercoaster Dreams,PlayStation 4,
Rustler,PlayStation 4,
Saban's Mighty Morphin Power Rangers: Mega Battle,PlayStation 4,
Saints Row IV: Gat out of Hell,PlayStation 4,
Saints Row IV: Re-Elected,PlayStation 4,
Saints Row The Third: Remastered,PlayStation 5,
Sam and Max Season 1 Save The World TTG,PlayStation 4,
Sam and Max Season 2 Beyond Time and Space TTG,PlayStation 4,
Sam and Max Season 3 The Devils Playhouse TTG,PlayStation 3,
Sam & Max: This Time It's Virtual,PlayStation VR,
Scott Pilgrim vs The World: The Game,PlayStation 4,
Scribblenauts Mega Pack,PlayStation 4,
Sekiro: Shadows Die Twice,PlayStation 4,
Shadow of the Colossus Classics HD,PlayStation 3,
Shantae and The Pirate's Curse,PlayStation 5,
"Sheep, Dog n Wolf",PlayStation 1,
Shing!,PlayStation 5,
Shooty Fruity,PlayStation VR,
Shovel Knight: Treasure Trove,PlayStation 4,
ShredIt,PlayStation 4,
Silent Hill,PlayStation 1,
Silent Hill HD Collection,PlayStation 3,
Silent Hill: Book of Memories,PlayStation Vita,
Sir Lovelot,PlayStation 5,
Siren Blood Curse,PlayStation 3,
Skate 2,PlayStation 3,
Skeleton Rider,PlayStation Vita,
Skyrim VR,PlayStation VR,
Slain,PlayStation 4,
Slay the Spire,PlayStation 4,
Sleeping Dogs,PlayStation 4,
Slender: The Arrival,PlayStation 4,
Sly 2: Band of Thieves,PlayStation 3,
Sly 3: Honour Among Thieves,PlayStation 3,
Sly Cooper and the Thievius Raccoonus,PlayStation 3,
Sly Cooper: Thieves in Time,PlayStation Vita,
Sniper Elite V2 Remastered,PlayStation 4,
Sniper Elite VR,PlayStation VR,
Sonic CD,PlayStation 3,
Sonic Generations,PlayStation 3,
Sonic Heroes,PlayStation 2,
Sonic Mania,PlayStation 4,
Sonic Origins,PlayStation 5,"Platform, Adventure; Action, Fantasy"
SoulCalibur VI,PlayStation 4,
Sound Shapes,PlayStation 4,
South Park: The Fractured But Whole,PlayStation 4,
South Park: The Stick of Truth,PlayStation 4,
Space Pirate Trainer VR,PlayStation VR,
Spacebase Startopia,PlayStation 5,
Spec Ops: The Line,PlayStation 3,
Spelunky,PlayStation 4,
Spirit of the North: Enhanced Edition,PlayStation 5,
SpongeBob Squarepants: Battle for Bikini Bottom - Rehydrated,PlayStation 4,
Sprint Vector,PlayStation VR,
Spy Chameleon,PlayStation 4,
Spy Hunter,PlayStation Vita,
Spyro 2: Gateway to Glimmer,PlayStation 1,
Spyro 3: Year of the Dragon,PlayStation 1,
Spyro Reignited Trilogy,PlayStation 4,
Spyro the Dragon,PlayStation 1,
Star Trek: Bridge Crew VR,PlayStation VR,
Star Wars Episode I: Racer,PlayStation 4,
Star Wars Jedi: Fallen Order,PlayStation 5,
Stardew Valley,PlayStation 4,
Stealth Inc 2: A Game Of Clones,PlayStation 4,
Stealth Inc: A Clone In The Dark,PlayStation 4,
SteamWorld Dig,PlayStation 4,
SteamWorld Dig 2,PlayStation 4,
SteamWorld Heist,PlayStation 4,
Stikbold! A Dodgeball Adventure,PlayStation 4,
Stranded Deep,PlayStation 4,
Street Fighter 30th Anniversary Collection,PlayStation 4,
Street Fighter X Tekken,PlayStation Vita,
Streets of Rage 2,PlayStation 3,
Stuntman: Ignition,PlayStation 2,
Subnautica,PlayStation 5,
Subnautica: Below Zero,PlayStation 5,
Suikoden,PlayStation 1,
Suikoden II,PlayStation 1,
Sumatra: Fate of Yandi,PlayStation 5,
SunFlowers,PlayStation Vita,
Super Kickers League Ultimate,PlayStation 4,
Super Meat Boy!,PlayStation 4,
Super Monkey Ball Adventure,PlayStation Portable,
Super Monkey Ball: Banana Blitz HD,PlayStation 4,
Super Rub 'a' Dub,PlayStation 3,
Super Stardust Ultra,PlayStation 4,
Superbeat: Xonic EX,PlayStation 4,
Superfrog HD,PlayStation 3,
Superhot VR,PlayStation VR,
Supermarket Shriek,PlayStation 4,
Surge Deluxe,PlayStation Vita,
Surgeon Simulator,PlayStation 4,
Switch Galaxy Ultra,PlayStation 4,
Syndicate,PlayStation 3,
Syphon Filter,PlayStation 1,
Syrup and the Ultimate Sweet,PlayStation 4,
Table Football,PlayStation Vita,
Table Top Racing,PlayStation Vita,
Table Top Racing: World Tour,PlayStation 4,
Tales From The Borderlands TTG,PlayStation 4,
Tales of Grace f,PlayStation 3,
Tales of Xillia,PlayStation 3,
Team Sonic Racing,PlayStation 4,
Tearaway Unfolded,PlayStation 4,
Tekken,PlayStation 1,
Tekken 2,PlayStation 1,
Tekken 5: Dark Resurrection,PlayStation 3,
Tekken 7,PlayStation 4,
Tekken Revolution,PlayStation 3,
Tembo The Badass Elephant,PlayStation 4,
Tennis in the Face,PlayStation 4,
Tennis World Tour 2,PlayStation 4,
Terminator: Resistance Enhanced,PlayStation 5,
Terraria,PlayStation 4,
Tethered,PlayStation 4,
Tetris Effect: Connected,PlayStation VR,
Tetris Ultimate,PlayStation 4,
That's You!,PlayStation 4,
The Amazing Spider-Man,PlayStation 3,
The American Dream,PlayStation VR,
The Baconing,PlayStation 3,
The Binding of Isaac: Rebirth,PlayStation 4,
The Bug Butcher,PlayStation 4,
The Cave,PlayStation 3,
The Complex,PlayStation 4,
The Crew,PlayStation 4,
The Cube,PlayStation 3,
The Darkness,PlayStation 3,
The Darkness 2,PlayStation 3,
The Darkside Detective,PlayStation 5,
The Darkside Detective: A Fumble in the Dark,PlayStation 5,
The Disney Afternoon Collection,PlayStation 4,
The Escapists,PlayStation 4,
The Evil Within,PlayStation 4,
The Flame in the Flood,PlayStation 4,
The Guy VR,PlayStation VR,
The House of the Dead: Overkill,PlayStation 3,
The Last Guardian,PlayStation 4,
The Last of Us Part II,PlayStation 4,
The Last Of Us Remastered,PlayStation 4,
The Last Of Us: Left Behind Remastered,PlayStation 4,
The Lord of the Rings: The Return of the King,PlayStation 2,
The Mark of Kri,PlayStation 2,
The Pedestrian,PlayStation 5,
The Persistence,PlayStation 5,
The Playroom VR,PlayStation VR,
The Secret of Monkey Island: Special Edition,PlayStation 3,
The Simpsons Arcade Game,PlayStation 3,
The Simpsons Game,PlayStation 3,
The Sims,PlayStation 2,
The Sims 2,PlayStation 2,
The Sims 3,PlayStation 3,
The Sims 3: Pets,PlayStation 3,
The Sims 4,PlayStation 4,
The Sinking City,PlayStation 5,
The Stanley Parable: Ultra Deluxe,PlayStation 5,
The Swapper,PlayStation 4,
The Unfinished Swan,PlayStation 4,
The Walking Dead Final Season TTG,PlayStation 4,
The Walking Dead Season 1 TTG,PlayStation 4,
The Walking Dead Season 2 TTG,PlayStation 4,
The Walking Dead Season 3 TTG,PlayStation 4,
The Walking Dead: Saints and Sinners,PlayStation VR,
The Warriors,PlayStation 4,
The Witcher 3: Wild Hunt,PlayStation 4,
The Witness,PlayStation 4,
The Wolf Among Us TTG,PlayStation 4,
Theme Hospital,PlayStation 1,
Think of the Children,PlayStation 4,
This Is The Police,PlayStation 4,
Thomas Was Alone,PlayStation 4,
Tiger Woods PGA Tour 11,PlayStation 3,
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-Shot Adventure,PlayStation 4,
Tiny Trax,PlayStation VR,
Titan Attacks!,PlayStation 4,
ToeJam & Earl: Back In The Groove,PlayStation 4,
ToeJam and Earl,PlayStation 3,
ToeJam and Earl: Panic on Funkotron,PlayStation 3,
TOEM,PlayStation 5,"Puzzle, Adventure, Indie; Fantasy, Kids"
Tokyo Jungle,PlayStation 3,
Tomb Raider,PlayStation 1,
Tomb Raider II,PlayStation 1,
Tomb Raider III,PlayStation 1,
Tomb Raider: Anniversary,PlayStation Portable,
Tomb Raider: Chronicles,PlayStation 1,
Tomb Raider: Legend,PlayStation Portable,
Tomb Raider: The Last Revelation,PlayStation 1,
Tomba,PlayStation 1,
Tomba 2!: The Evil Swine Return,PlayStation 1,
Tony Hawk's Pro Skater 1 + 2 Remake,PlayStation 5,
Tony Hawk's Pro Skater HD,PlayStation 3,
Touhou Double Focus,PlayStation 4,
Toy Story 2,PlayStation 1,
Toy Story Racer,PlayStation 1,
Track Lab,PlayStation VR,
Trackmania Turbo,PlayStation VR,
Traffic Jams,PlayStation VR,
Trials Fusion: The Awesome MAX Edition,PlayStation 4,
Tribes of Midgard,PlayStation 4,
Tricky Towers,PlayStation 4,
Trine 2: Complete Story,PlayStation 4,
Trine 3: The Artifacts Of Power,PlayStation 4,
Trine Enchanted Edition,PlayStation 4,
Tropico 5,PlayStation 4,
Trover Saves The Universe,PlayStation 4,
Tumble VR,PlayStation VR,
Twin Robots: Ultimate Edition,PlayStation 5,
Twisted Metal,PlayStation 1,
Twisted Metal,PlayStation 3,
Twisted Metal: Black,PlayStation 4,
Two Point Hospital,PlayStation 4,
TxK,PlayStation Vita,
Typoman,PlayStation 4,
UFC 2009 Undisputed,PlayStation 3,
UFC 4,PlayStation 4,
Ultratron,PlayStation 4,
Ultrawings,PlayStation VR,
UmJammer Lammy,PlayStation 1,
Unbox: Newbie's Adventure,PlayStation 4,
Uncanny Valley,PlayStation 4,
Uncharted 2: Among Thieves,PlayStation 4,
Uncharted 3: Drake's Deception,PlayStation 4,
Uncharted 4: A Thief's End,PlayStation 4,
Uncharted: Drake's Fortune,PlayStation 4,
Uncharted: Fight for Fortune,PlayStation Vita,
Uncharted: Golden Abyss,PlayStation Vita,
Uncharted: The Lost Legacy,PlayStation 4,
Undertale,PlayStation 4,
UNO,PlayStation 4,
Unravel,PlayStation 4,
Until Dawn,PlayStation 4,
Until Dawn: Rush Of Blood VR,PlayStation VR,
Until You Fall,PlayStation VR,
Untitled Goose Game,PlayStation 4,
Urbz: Sims in the City,PlayStation 2,
Velocity 2X,PlayStation 4,
Velocity Ultra,PlayStation 3,
Vib-Ribbon,PlayStation 1,
Viking Squad,PlayStation 4,
Virtua Fighter 5: Ultimate Showdown,PlayStation 4,
Volume,PlayStation 4,
VR Karts,PlayStation VR,
VR Ping Pong,PlayStation VR,
VR The Diner Duo,PlayStation VR,
Wanderer,PlayStation VR,
Wanderjahr,PlayStation Vita,
Warframe: The New War,PlayStation 5,
Watch Dogs: Legion,PlayStation 5,
Watch_Dogs,PlayStation 4,
Watch_Dogs 2,PlayStation 4,
When Vikings Attack,PlayStation 3,
while true: learn( ),PlayStation 4,
Wipeout,PlayStation 1,
Wipeout Omega Collection,PlayStation 4,
Wipeout Pulse,PlayStation Portable,
Worms Battlegrounds,PlayStation 4,
Worms Revolution Extreme,PlayStation Vita,
Worms Rumble,PlayStation 5,
Worms WMD,PlayStation 4,
WRC 6,PlayStation 4,
Wreckfest,PlayStation 5,
WWE 2K Battlegrounds,PlayStation 4,
WWE Smackdown vs RAW 2007,PlayStation 2,
WWF! Smackdown 2: Know Your Role,PlayStation 1,
XCOM 2,PlayStation 4,
XCOM Enemy Unknown,PlayStation 3,
Xenoraid,PlayStation 4,
Yakuza 0,PlayStation 4,
Yakuza 3 Remastered,PlayStation 4,
Yakuza 4 Remastered,PlayStation 4,
Yakuza 5 Remastered,PlayStation 4,
Yakuza 6: The Song of Life,PlayStation 4,
Yakuza 7: Like a Dragon,PlayStation 5,
Yakuza Kiwami,PlayStation 4,
Yakuza Kiwami 2,PlayStation 4,
Yomawari: Midnight Shadows,PlayStation 4,
Yomawari: Night Alone,PlayStation Vita,
Yooka-Laylee,PlayStation 4,
Yooka-Laylee and the Impossible Lair,PlayStation 4,
You Are Being Followed,PlayStation VR,
Yu-Gi-Oh! Legacy of the Duelist,PlayStation 4,
Zero Escape: Virtue's Last Reward,PlayStation Vita,
Zombie Tycoon II: Brainhov's Revenge,PlayStation 3,
